"","institution","institution_commit","num_committer","commit_per_committer"
"1","mit",416165,4374,95.1451760402378
"2","stanford",244809,3016,81.1700928381963
"3","berkeley",229616,3573,64.2642037503498
"4","umich",171362,2322,73.7993109388458
"5","wisc",137154,1423,96.3836964160225
"6","cornell",129567,1855,69.8474393530997
"7","harvard",125480,1613,77.7929324240546
"8","colorado",125233,1253,99.9465283320032
"9","cmu",116779,2146,54.4170549860205
"10","utexas",114207,1849,61.7669010275825
"11","uw",96289,1566,61.4872286079183
"12","washington",85951,1307,65.7620504973221
"13","ucsd",80606,1449,55.6287094547964
"14","nyu",70450,1454,48.4525447042641
"15","utah",69377,580,119.615517241379
"16","vt",63914,946,67.5623678646934
"17","ucla",62981,806,78.1401985111662
"18","duke",59619,1072,55.6147388059701
"19","rit",56808,2243,25.3267944716897
"20","umn",49939,1079,46.2826691380908
"21","columbia",49315,1324,37.2469788519637
"22","wustl",49075,466,105.311158798283
"23","virginia",48835,1373,35.5680990531682
"24","gatech",48791,1726,28.2682502896871
"25","uci",48742,669,72.8579970104634
"26","iastate",48233,589,81.8896434634974
"27","kit",48142,716,67.2374301675978
"28","purdue",47634,1008,47.2559523809524
"29","jhu",45218,576,78.5034722222222
"30","psc",43079,68,633.514705882353
