query_success,repo_name,repo_description,repo_created_at,repo_updated_at,repo_last_pushed_at,language,repo_stars,homepage,fork,parent_repo_name,parent_repo_stars,topics
True,ParBLiSS/kmerind,Parallel k-mer indexing for biological sequences,2016-01-21 22:21:29,2021-12-15 12:40:52,2018-12-14 19:30:24,C++,12.0,,False,,,[]
True,cmusatyalab/elijah-provisioning,Cloudlet provisioning using VM synthesis,2014-02-17 21:08:41,2020-12-21 22:54:45,2020-03-24 13:37:01,Python,18.0,http://elijah.cs.cmu.edu/,False,,,[]
True,OIT-ADS-Web/vivo_widgets,VIVO Widgets - web page widget and builder,2011-02-28 19:54:56,2021-12-16 14:05:08,2022-02-11 20:32:42,JavaScript,13.0,,False,,,[]
False,intfloat/CoreNLP,,,,,,,,,,,
True,pyrovski/papi,Performance Application Programming Interface,2013-07-19 18:48:32,2021-08-03 14:55:27,2013-07-19 18:59:17,C,6.0,http://icl.cs.utk.edu/papi/,False,,,[]
True,xgcm/xrft,Fourier transforms on xarray data structures,2016-06-10 17:53:28,2022-04-10 07:10:06,2022-02-16 11:46:51,Python,114.0,https://xrft.readthedocs.io/en/latest/,False,,,[]
True,pscedu/slash2,SLASH2 file system,2015-03-13 04:42:17,2020-12-07 15:12:15,2019-01-16 17:32:07,C,13.0,,False,,,[]
True,ooici/coi-services,COI R2 services based on pyon. Parts of this project were integrated into https://github.com/scionrep/scioncc,2011-10-28 20:19:40,2018-08-10 01:41:38,2019-10-14 02:13:12,nesC,24.0,,False,,,[]
True,brh55/brh55.github.io,My personal blog using Jekyll!,2015-02-17 00:31:11,2021-12-13 21:11:06,2022-02-08 15:17:11,HTML,0.0,https://brandonhim.com,True,barryclark/jekyll-now,7702.0,[]
True,Tsuruko/FeelzApp,,2015-01-27 03:32:06,2018-03-27 00:13:21,2018-03-27 00:13:20,HTML,0.0,,False,,,[]
